"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-13","11.86",,"0.00","0.0","1.2","15","30","6","  310","  300","23.0","31.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-14","15.43",,"0.00","0.0","1.2","7","12","-3","  320","  350","31.1","42.1",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-15","9.17",,"0.00","0.0","1.2","2","9","0","  130","  140","15.0","19.0",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-16","9.40",,"0.01","0.4","1.2","12","20","8","  300","  310","19.9","25.9",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-17","14.54",,"0.00","0.0","1.2","8","10","-2","  320","  310","25.1","32.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-18","14.54",,"0.00","0.0","1.2","-2","2","-9","  320","  310","23.0","28.0",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-19","5.82",,"0.00","0.0","1.2","-3","9","-11","  150","  330","13.0","16.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-20","6.93",,"0.07","0.8","1.2","11","25","5","  170","  180","18.1","23.9","    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-21","12.75",,"0.01","0.1","1.2","20","24","0","  320","  320","21.9","27.1",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-22","12.53",,"0.00","0.0","1.2","-1","0","-9","  320","  320","21.0","25.9",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-23","11.41",,"0.00","0.0","1.2","-2","23","-11","  220","  210","23.0","34.0",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-24","17.22",,"0.01","0.1","1.2","26","32","13","  310","  310","36.0","46.1",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-25","9.62",,"0.02","0.2","1.2","13","16","5","  350","   30","16.1","21.9",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-26","10.07",,"0.00","0.0","1.2","5","11","-3","  310","  320","16.1","21.9",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-27","6.71",,"0.00","0.0","0.0","4","15","-6","  210","  230","13.0","17.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-28","9.62",,"0.00","0.0","0.0","8","20","-3","  160","  170","21.0","25.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-01","13.42",,"0.00","0.0","0.0","18","28","14","  300","  260","21.9","30.0",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-02","8.05",,"0.00","0.0","0.0","19","26","9","  150","  140","15.0","19.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-03","12.53",,"0.13","1.9","0.0","23","29","6","  310","  300","28.0","36.0","    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-04","12.08",,"0.00","0.0","2.0","7","12","-2","  290","  300","23.0","31.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-05","6.93",,"0.00","0.0","2.0","2","15","-7","  200","  180","13.0","18.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-06","7.83",,"0.00","0.0","2.0","19","39","7","  270","  310","16.1","19.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-07","12.08",,"0.00","0.0","0.0","34","44","28","  310","  300","28.0","35.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-08","8.95",,"0.00","0.0","0.0","37","48","31","  280","  320","18.1","25.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-09","8.95",,"0.00","0.0","0.0","42","57","32","  230","  240","21.0","27.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-10","8.95",,"0.00","0.0","0.0","49","66","37","  310","  290","23.0","28.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-11","4.25",,"0.00","0.0","0.0","44","58","29","  160","  150","13.0","17.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-12","13.42",,"0.00","0.0","0.0","47","62","37","  160","  150","23.0","28.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-13","11.63",,"0.00","0.0","0.0","54","62","39","  290","  320","21.0","25.9",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-14","6.71",,"0.00","0.0","0.0","46","61","33","  300","  330","16.1","23.0","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-15","10.07",,"0.00","0.0","0.0","53","70","38","  220","  220","23.9","33.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-16","12.30",,"0.00","0.0","0.0","56","62","36","   10","   10","28.0","35.1",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-17","9.84",,"0.00","0.0","0.0","37","45","26","  360","  350","21.0","28.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-18","2.46",,"0.00","0.0","0.0","38","46","30","  140","  140","12.1","14.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-19","10.29",,"0.00","0.0","0.0","41","50","35","  160","  170","19.9","25.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-20","8.72",,"0.00","0.0","0.0","43","56","32","  340","   20","23.0","30.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-21","10.29",,"0.00","0.0","0.0","36","38","26","  350","  350","23.0","30.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-22","10.96",,"0.20","3.1","0.0","33","35","29","   70","   60","18.1","23.9","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-23","9.62",,"0.03","0.5","3.9","30","32","30","  100","  110","16.1","19.9","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-24","10.96",,"0.12","1.2","2.0","31","38","25","  140","  140","21.0","27.1","    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-25","14.99",,"0.00","0.1","1.2","34","38","31","  270","  270","32.0","42.1","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-26","12.53",,"0.00","0.0","0.0","33","36","25","  320","  320","21.0","25.9",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-27","4.92",,"0.00","0.0","0.0","27","36","17","  220","   20","12.1","16.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-28","10.96",,"0.00","0.0","0.0","30","41","20","  160","  160","21.9","27.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-29","17.45",,"0.19","0.0","0.0","40","53","34","  300","  310","36.9","48.1","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-30","6.93",,"0.00","0.0","0.0","45","57","36","   20","   10","18.1","23.9",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-03-31","5.14",,"0.00","0.0","0.0","48","65","32","  290","  280","13.0","23.0","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-01","14.32",,"0.26","0.0","0.0","59","84","43","  180","  180","31.1","45.0",,,"    1",,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-02","17.67",,"0.00","0.0","0.0","58","65","34","  250","  290","35.1","46.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-03","12.75",,"0.00","0.0","0.0","37","43","27","  320","  320","23.0","29.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-04","7.16",,"0.00","0.0","0.0","41","52","32","  230","  240","16.1","23.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-05","12.75",,"0.00","0.0","0.0","45","53","36","   60","   60","21.0","28.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-06","14.76",,"0.18","0.0","0.0","41","43","38","   50","   80","23.0","32.0","    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-07","14.54",,"0.01","0.0","0.0","40","43","37","   80","   80","23.9","29.1","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-08","10.07",,"0.00","0.0","0.0","41","48","37","   70","   80","17.0","23.9","    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-09","10.07",,"0.63","0.1","0.0","40","41","33","  360","  350","21.9","27.1","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-10","8.72",,"0.08","0.2","0.0","41","56","32","  270","  270","23.9","28.0","    1",,,"    1",,,,
